scenario,year,DA,motor
healthy,4.384615384615384,0.9781690496543329,0.05462047584425672
healthy,4.403846153846153,0.978074357299823,0.054620487677789015
healthy,4.4230769230769225,0.977979674112074,0.05462049966455147
healthy,4.442307692307692,0.9778850000901985,0.05462051180583589
healthy,4.461538461538461,0.9777903352333097,0.05462052410293919
healthy,4.48076923076923,0.9776956795405197,0.054620536557163285
healthy,4.5,0.9776010330109421,0.054620549169814916
healthy,4.519230769230769,0.9775063956436895,0.05462056194220604
healthy,4.538461538461538,0.977411767437875,0.05462057487565343
healthy,4.5576923076923075,0.9773171483926114,0.0546205879714788
healthy,4.576923076923077,0.9772225385070122,0.054620601231009036
healthy,4.596153846153846,0.9771279377801908,0.054620614655575626
healthy,4.615384615384616,0.9770333462112603,0.0546206282465154
healthy,4.634615384615384,0.9769387637993343,0.05462064200516986
healthy,4.653846153846153,0.9768441905435264,0.05462065593288568
healthy,4.6730769230769225,0.97674962644295,0.0546206700310142
healthy,4.692307692307692,0.9766550714967189,0.05462068430091191
healthy,4.711538461538461,0.9765605257039472,0.05462069874394003
healthy,4.73076923076923,0.9764659890637487,0.05462071336146491
healthy,4.75,0.9763714615752371,0.05462072815485766
healthy,4.769230769230769,0.9762769432375268,0.0546207431254944
healthy,4.788461538461538,0.9761824340497317,0.0546207582747561
healthy,4.8076923076923075,0.9760879340109662,0.05462077360402866
healthy,4.826923076923077,0.9759934431203444,0.05462078911470283
healthy,4.846153846153846,0.975898961376981,0.05462080480817431
healthy,4.865384615384616,0.9758044887799903,0.0546208206858436
healthy,4.884615384615384,0.9757100253284869,0.05462083674911615
healthy,4.903846153846153,0.9756155710215856,0.05462085299940229
healthy,4.9230769230769225,0.9755211258584009,0.05462086943811716
healthy,4.942307692307692,0.9754266898380477,0.05462088606668084
healthy,4.961538461538461,0.975332262959641,0.05462090288651819
healthy,4.98076923076923,0.9752378452222958,0.05462091989905893
healthy,5.0,0.9751434366251274,0.054620937105737774
healthy,5.019230769230769,0.9750490371672506,0.054620954507994
healthy,5.038461538461538,0.9749546468477809,0.05462097210727202
healthy,5.0576923076923075,0.9748602656658334,0.05462098990502084
healthy,5.076923076923077,0.9747658936205239,0.054621007902694495
healthy,5.096153846153846,0.9746715307109676,0.05462102610175167
healthy,5.115384615384616,0.9745771769362803,0.05462104450365596
healthy,5.134615384615384,0.9744828322955779,0.054621063109875724
healthy,5.153846153846153,0.9743884967879758,0.054621081921884196
healthy,5.1730769230769225,0.9742941704125899,0.054621100941159406
healthy,5.192307692307692,0.9741998531685362,0.054621120169184016
healthy,5.211538461538461,0.9741055450549307,0.05462113960744573
healthy,5.23076923076923,0.9740112460708898,0.054621159257436894
healthy,5.25,0.9739169562155295,0.054621179120654645
healthy,5.269230769230769,0.9738226754879661,0.05462119919860084
healthy,5.288461538461538,0.9737284038873159,0.05462121949278225
healthy,5.3076923076923075,0.9736341414126953,0.054621240004710296
healthy,5.326923076923077,0.9735398880632212,0.05462126073590129
healthy,5.346153846153846,0.9734456438380099,0.05462128168787606
healthy,5.365384615384616,0.9733514087361783,0.05462130286216046
healthy,5.384615384615384,0.973257182756843,0.05462132426028491
healthy,5.403846153846153,0.9731629658991212,0.054621345883784575
healthy,5.4230769230769225,0.9730687581621296,0.05462136773419952
healthy,5.442307692307692,0.9729745595449854,0.05462138981307429
healthy,5.461538461538461,0.9728803700468056,0.05462141212195838
healthy,5.48076923076923,0.9727861896667075,0.05462143466240593
healthy,5.5,0.9726920184038087,0.05462145743597565
healthy,5.519230769230769,0.972597856257226,0.0546214804442312
healthy,5.538461538461538,0.9725037032260775,0.05462150368874082
healthy,5.5576923076923075,0.9724095593094805,0.05462152717107733
healthy,5.576923076923077,0.9723154245065527,0.054621550892818484
healthy,5.596153846153846,0.9722212988164117,0.054621574855546626
healthy,5.615384615384615,0.9721271822381756,0.054621599060848625
healthy,5.634615384615384,0.9720330747709621,0.054621623510316325
healthy,5.653846153846153,0.9719389764138894,0.05462164820554602
healthy,5.6730769230769225,0.9718448871660753,0.054621673148138795
healthy,5.692307692307692,0.9717508070266383,0.05462169833970031
healthy,5.711538461538461,0.9716567359946965,0.05462172378184093
healthy,5.73076923076923,0.971562674069368,0.05462174947617563
healthy,5.75,0.9714686212497717,0.05462177542432409
healthy,5.769230769230769,0.971374577535026,0.054621801627910624
healthy,5.788461538461538,0.9712805429242491,0.054621828088564105
healthy,5.8076923076923075,0.9711865174165599,0.05462185480791822
healthy,5.826923076923077,0.9710925010110774,0.05462188178761115
healthy,5.846153846153846,0.9709984937069202,0.0546219090292856
healthy,5.865384615384615,0.9709044955032073,0.054621936534589174
healthy,5.884615384615384,0.9708105063990577,0.05462196430517377
healthy,5.903846153846153,0.9707165263935909,0.05462199234269622
healthy,5.9230769230769225,0.9706225554859254,0.054622020648817604
healthy,5.942307692307692,0.9705285936751809,0.054622049225203965
healthy,5.961538461538461,0.9704346409604766,0.05462207807352563
healthy,5.98076923076923,0.970340697340932,0.05462210719545767
healthy,6.0,0.970246762815667,0.054622136592679726
healthy,6.019230769230769,0.9701528373838006,0.054622166266876084
healthy,6.038461538461538,0.970058921044453,0.05462219621973539
healthy,6.0576923076923075,0.9699650137967438,0.05462222645295114
healthy,6.076923076923077,0.9698711156397929,0.054622256968221046
healthy,6.096153846153846,0.9697772265727203,0.05462228776724768
healthy,6.115384615384615,0.9696833465946457,0.05462231885173815
healthy,6.134615384615384,0.9695894757046898,0.05462235022340387
healthy,6.153846153846153,0.9694956139019726,0.054622381883961076
healthy,6.1730769230769225,0.969401761185614,0.05462241383513038
healthy,6.192307692307692,0.9693079175547352,0.054622446078636935
healthy,6.211538461538461,0.969214083008456,0.054622478616210446
healthy,6.23076923076923,0.9691202575458971,0.05462251144958516
healthy,6.25,0.9690264411661791,0.05462254458049984
healthy,6.269230769230769,0.968932633868423,0.05462257801069781
healthy,6.288461538461538,0.9688388356517493,0.05462261174192679
healthy,6.3076923076923075,0.9687450465152794,0.05462264577593906
healthy,6.326923076923077,0.9686512664581337,0.05462268011449137
healthy,6.346153846153846,0.9685574954794334,0.05462271475934506
healthy,6.365384615384615,0.9684637335783,0.05462274971226578
healthy,6.384615384615384,0.9683699807538544,0.05462278497502378
healthy,6.403846153846153,0.9682762370052179,0.054622820549393915
healthy,6.4230769230769225,0.9681825023315122,0.054622856437155184
healthy,6.442307692307692,0.9680887767318584,0.05462289264009142
healthy,6.461538461538461,0.9679950602053785,0.05462292915999066
healthy,6.48076923076923,0.9679013527511942,0.05462296599864545
healthy,6.499999999999999,0.9678076543684266,0.054623003157852894
healthy,6.519230769230769,0.9677139650561987,0.05462304063941394
healthy,6.538461538461538,0.9676202848136352,0.05462307844513674
healthy,6.5576923076923075,0.9675266136398505,0.05462311657682902
healthy,6.576923076923077,0.9674329515339708,0.054623155036305694
healthy,6.596153846153846,0.9673392984951182,0.054623193825386995
healthy,6.615384615384615,0.967245654522415,0.05462323294589678
healthy,6.634615384615384,0.9671520196149835,0.05462327239966269
healthy,6.653846153846153,0.9670583937719462,0.05462331218851731
healthy,6.6730769230769225,0.966964776992426,0.054623352314297505
healthy,6.692307692307692,0.966871169275545,0.05462339277884451
healthy,6.711538461538461,0.9667775706204258,0.05462343358400415
healthy,6.73076923076923,0.9666839810261915,0.05462347473162641
healthy,6.749999999999999,0.9665904004919649,0.05462351622356587
healthy,6.769230769230769,0.9664968290168692,0.05462355806168022
healthy,6.788461538461538,0.9664032666000303,0.05462360024783595
healthy,6.8076923076923075,0.966309713240564,0.05462364278389764
healthy,6.826923076923077,0.9662161689375979,0.05462368567173814
healthy,6.846153846153846,0.9661226336902549,0.05462372891323399
healthy,6.865384615384615,0.9660291074976584,0.054623772510265726
healthy,6.884615384615384,0.9659355903589318,0.05462381646471855
healthy,6.903846153846153,0.9658420822732026,0.05462386077848024
healthy,6.9230769230769225,0.9657485832395876,0.0546239054534506
healthy,6.942307692307692,0.9656550932572124,0.05462395049152055
healthy,6.961538461538461,0.965561612325202,0.05462399589459472
healthy,6.98076923076923,0.96546814044268,0.05462404166458093
healthy,6.999999999999999,0.9653746776087706,0.05462408780339026
healthy,7.019230769230769,0.9652812238225977,0.05462413431293763
healthy,7.038461538461538,0.9651877790832853,0.05462418119514297
healthy,7.0576923076923075,0.9650943433899576,0.05462422845193031
healthy,7.076923076923077,0.965000916741739,0.054624276085228116
healthy,7.096153846153846,0.9649074991377542,0.054624324096968956
healthy,7.115384615384615,0.9648140905771273,0.054624372489089766
healthy,7.134615384615384,0.9647206910589827,0.05462442126353187
healthy,7.153846153846153,0.9646273005824454,0.05462447042224074
healthy,7.1730769230769225,0.96453391914664,0.054624519967166364
healthy,7.192307692307692,0.9644405467506912,0.05462456990026275
healthy,7.211538461538461,0.964347183393724,0.054624620223488206
healthy,7.23076923076923,0.9642538290748635,0.05462467093880556
healthy,7.249999999999999,0.9641604837932344,0.05462472204818154
healthy,7.269230769230769,0.9640671475479621,0.05462477355358752
healthy,7.288461538461538,0.9639738203381719,0.054624825456998746
healthy,7.3076923076923075,0.963880502162989,0.0546248777603951
healthy,7.326923076923077,0.9637871930215387,0.05462493046576032
healthy,7.346153846153846,0.9636938929129466,0.05462498357508264
healthy,7.365384615384615,0.9636006018363428,0.05462503709035425
healthy,7.384615384615384,0.963507319790844,0.054625091013572435
healthy,7.403846153846153,0.9634140467755803,0.05462514534673744
