id,onset_years,diagnosis_DA,arm,DA_18mo,motor_18mo,loss_mito,loss_inflam,loss_proteo
2,4.225233920337865,0.6432893303020736,A_60,0.5908112615976424,0.16634737051452267,0.0012398386302065168,0.014451797646347077,0.03678643242789114
2,4.225233920337865,0.6432893303020736,B_10,0.5736864303235117,0.18423352111684493,0.0017130714238406453,0.0176448274172036,0.05024500113750709
2,4.225233920337865,0.6432893303020736,B_30,0.5807627555029744,0.17635962439201774,0.0014805154620560418,0.01626587735309008,0.044780181983941826
2,4.225233920337865,0.6432893303020736,B_60,0.5856220645926522,0.17135118264312033,0.0013547329728310447,0.01537428222861293,0.040938250507977815
3,0.545304001777399,0.3571952070183274,placebo,0.1304118268605312,0.7036259699304027,0.1780492163516122,0.03398001839219709,0.014754145413984286
3,0.545304001777399,0.3571952070183274,A_10,0.13162710762469176,0.6988990620807384,0.17844936748795692,0.032323313819291065,0.014795418086391447
3,0.545304001777399,0.3571952070183274,A_30,0.19714698945274217,0.6108321427972571,0.1252542784130149,0.021415411727028873,0.013378527425544854
3,0.545304001777399,0.3571952070183274,A_60,0.22909952493672872,0.5730525088300327,0.09851890292753591,0.017361202127310703,0.012215577026747134
3,0.545304001777399,0.3571952070183274,B_10,0.13089387781561979,0.7016539903050822,0.17821764906232582,0.033312878851524834,0.014770801288860545
3,0.545304001777399,0.3571952070183274,B_30,0.13184778500461308,0.6981092431261838,0.17851015561883904,0.03203478731084145,0.01480247908403633
3,0.545304001777399,0.3571952070183274,B_60,0.17714057282976878,0.6330414005478935,0.1420424768246141,0.024198233620661643,0.013813923743283838
4,0.8978423700252232,0.4690964607006841,placebo,0.2575874947143822,0.5823501887171131,0.14115020735798237,0.040555820333123396,0.029802938295196233
4,0.8978423700252232,0.4690964607006841,A_10,0.25933161680514744,0.5730349933451772,0.14143559834820088,0.03845990532078975,0.029869340226553666
4,0.8978423700252232,0.4690964607006841,A_30,0.2610283160253,0.5664938115826328,0.14171112154615742,0.03641465478939561,0.029942368339844264
4,0.8978423700252232,0.4690964607006841,A_60,0.3060039187383111,0.49151351599703363,0.10301937867131927,0.029794979280757573,0.03027818401031097
4,0.8978423700252232,0.4690964607006841,B_10,0.2583124141939685,0.5779723818441987,0.14126665943463865,0.0396880183617355,0.029829368710347897
4,0.8978423700252232,0.4690964607006841,B_30,0.2595614118210061,0.5720764785952208,0.14147496717575914,0.03818110499183616,0.02987897671209303
4,0.8978423700252232,0.4690964607006841,B_60,0.26061810852886,0.5680376503289915,0.1416519487463887,0.036901499625848926,0.029924903799585928
5,13.404311287278562,0.6816128663531245,placebo,0.6549755425131968,0.11605648906868057,0.008722354206897251,0.008883037474687557,0.009031932158332683
5,13.404311287278562,0.6816128663531245,A_10,0.6619767008320954,0.10725314783465639,0.007486842097575776,0.007005280344873478,0.005144043078592574
5,13.404311287278562,0.6816128663531245,A_30,0.6643060606628696,0.1044029733767544,0.007072075049831481,0.006271450087072673,0.003963280553380856
5,13.404311287278562,0.6816128663531245,A_60,0.6652296267552096,0.10334472370551359,0.006906654330159967,0.005963497424749476,0.0035130878430230453
5,13.404311287278562,0.6816128663531245,B_10,0.6594815574928645,0.11040666545984167,0.007927992229024693,0.007726942116116993,0.00647637451512388
5,13.404311287278562,0.6816128663531245,B_30,0.6623883926175272,0.10673851103978255,0.007413775494755393,0.006879951886171053,0.004930746354685346
5,13.404311287278562,0.6816128663531245,B_60,0.6638869303422096,0.10490129584167031,0.007146960005910391,0.006407982521471571,0.004170993483570391
6,9.82328041445165,0.6750305573898631,placebo,0.6392920627485446,0.12043937090866415,0.027510330466260224,0.005005389892559419,0.003222774282521994
6,9.82328041445165,0.6750305573898631,A_10,0.6442236741580056,0.11300157075972518,0.02484333815821682,0.00402850401018642,0.0019350410634469256
6,9.82328041445165,0.6750305573898631,A_30,0.6467418541052943,0.10903970332806741,0.023464204310804405,0.0034592274540381435,0.0013652715197545367
6,9.82328041445165,0.6750305573898631,A_60,0.6478941892471535,0.10725502281336596,0.02282870226139681,0.0031813725389492854,0.0011262933423906714
6,9.82328041445165,0.6750305573898631,B_10,0.6420824965772115,0.11630429483414634,0.026006102244743673,0.00447372249213166,0.0024682360757870125
6,9.82328041445165,0.6750305573898631,B_30,0.6446294952801854,0.11236572336103068,0.024621967491934963,0.003940191897822523,0.0018389027199097916
6,9.82328041445165,0.6750305573898631,B_60,0.6462479587282733,0.10981611453045857,0.02373574137060499,0.003574938909628822,0.0014719183813676694
7,9.415219005840598,0.673967578499272,placebo,0.636780685813835,0.12916717573238576,0.00031214784063182183,0.022610141799437287,0.014264603045385396
7,9.415219005840598,0.673967578499272,A_10,0.6469827536306046,0.11844090305679168,0.0002673416565126484,0.018199599826280444,0.008517883385875709
7,9.415219005840598,0.673967578499272,A_30,0.6509092404290077,0.11450123864374172,0.00025092287036353373,0.016282103521457873,0.006525311678483532
7,9.415219005840598,0.673967578499272,A_60,0.6525311411752427,0.11296626779331038,0.00024422283097685904,0.015450088627097736,0.005742125865964999
7,9.415219005840598,0.673967578499272,B_10,0.6430671473263866,0.12251890256597896,0.0002840818623712343,0.019982547782599048,0.01063380152790952
7,9.415219005840598,0.673967578499272,B_30,0.6476583055821332,0.11774841958537964,0.0002644941856407173,0.017879246996783435,0.008165531734714099
7,9.415219005840598,0.673967578499272,B_60,0.6501846115405068,0.11520929595552337,0.0002539306827742172,0.01664619949024728,0.006882836785773479
8,14.310344331134875,0.6827632698411247,placebo,0.6577399993309777,0.11684865417626662,0.006250604985444834,0.011639439125622023,0.00713322639907303
8,14.310344331134875,0.6827632698411247,A_10,0.6626063962444848,0.11041182163901014,0.005596257845450962,0.009811815653617762,0.004748800097579701
8,14.310344331134875,0.6827632698411247,A_30,0.6651100782813332,0.10709981138671386,0.005265458035904897,0.008758660055562592,0.0036290734683456097
8,14.310344331134875,0.6827632698411247,A_60,0.6662597846849887,0.10563522698149251,0.005114207152170551,0.008246690605863468,0.0031425873981320717
8,14.310344331134875,0.6827632698411247,B_10,0.6604872618427974,0.11323660955332603,0.0058787331715668195,0.010640865121155845,0.0057564097056094325
8,14.310344331134875,0.6827632698411247,B_30,0.6630090451877285,0.1098745632298336,0.005542885266443164,0.009647997737768815,0.004563341649172758
8,14.310344331134875,0.6827632698411247,B_60,0.6646180481154489,0.10774219212417885,0.005330292186232246,0.008972230592235675,0.00384269894724291
